kappa,m=0.2,m=0.8,m=0.5
0.1,0.0638,0.0638,0.0641
0.2,0.1275,0.1275,0.1281
0.3,0.1913,0.1913,0.1922
0.4,0.255,0.253,0.2543
0.5,0.3208,0.3168,0.3183
0.6,0.3845,0.3785,0.3824
0.7,0.4482,0.4403,0.4444
0.8,0.512,0.502,0.5085
0.9,0.5757,0.5638,0.5706
1,0.6395,0.6235,0.6326
1.1,0.7032,0.6833,0.6967
1.2,0.767,0.7431,0.7588
1.3,0.8307,0.8028,0.8208
1.4,0.8944,0.8606,0.8809
1.5,0.9582,0.9183,0.9429
1.6,1.0219,0.9761,1.005
1.7,1.0837,1.0319,1.0651
1.8,1.1474,1.0877,1.1251
1.9,1.2112,1.1415,1.1852
2,1.2749,1.1932,1.2432
2.1,1.3367,1.245,1.3013
2.2,1.4004,1.2948,1.3594
2.3,1.4622,1.3407,1.4134
2.4,1.5239,1.3865,1.4695
2.5,1.5857,1.4283,1.5215
2.6,1.6474,1.4661,1.5696
2.7,1.7072,1.5,1.6156
2.8,1.7649,1.5279,1.6557
2.9,1.8167,1.5498,1.6877
3,1.8626,1.5638,1.7117
3.1,1.8904,1.5717,1.7237
3.2,2.1355,2.4402,2.2995
3.3,2.1674,2.4472,2.3127
3.4,2.2132,2.4602,2.3369
3.5,2.267,2.4782,2.37
3.6,2.3247,2.4992,2.4074
3.7,2.3845,2.5193,2.4492
3.8,2.4443,2.5283,2.4823
3.9,2.504,2.5813,2.5373
4,2.5678,2.6359,2.5968
4.1,2.6295,2.6913,2.6563
4.2,2.6933,2.747,2.7157
4.3,2.757,2.8048,2.7774
4.4,2.8207,2.8606,2.839
4.5,2.8845,2.9183,2.8985
4.6,2.9482,2.9761,2.9602
4.7,3.012,3.0359,3.0218
4.8,3.0757,3.0936,3.0835
4.9,3.1395,3.1514,3.1451
5,3.2032,3.2112,3.209
5.1,3.2669,3.2689,3.2707
5.2,3.3307,3.3267,3.3323
5.3,3.3944,3.3865,3.394
5.4,3.4582,3.4442,3.4557
5.5,3.5219,3.502,3.5173
5.6,3.5857,3.5598,3.5812
5.7,3.6474,3.6155,3.6428
5.8,3.7112,3.6713,3.7045
5.9,3.7749,3.7251,3.764
6,3.8378,3.776,3.8256
6.1,3.9051,3.8189,3.8829
6.2,3.9682,3.8553,3.9357
6.3,4.0144,3.8817,3.9666
6.4,4.0939,4.498,4.2152
6.5,4.1578,4.513,4.2302
6.6,4.2217,4.5355,4.2628
6.7,4.2856,4.5681,4.3103
6.8,4.3495,4.6056,4.3629
6.9,4.4134,4.6481,4.4179
7,4.4773,4.6932,4.4755
7.1,4.5412,4.7407,4.5355
7.2,4.6051,4.7883,4.5956
7.3,4.669,4.8383,4.6557
7.4,4.7329,4.8909,4.7157
7.5,4.7968,4.9409,4.7783
7.6,4.8607,4.9785,4.8383
7.7,4.9246,5.036,4.9009
7.8,4.9885,5.0986,4.9585
7.9,5.0524,5.1612,5.021
8,5.1123,5.2212,5.0836
8.1,5.1762,5.2788,5.1461
8.2,5.2402,5.3388,5.2087
8.3,5.3041,5.3989,5.2713
8.4,5.368,5.459,5.3338
8.5,5.4319,5.5165,5.3964
8.6,5.4958,5.5766,5.459
8.7,5.5597,5.6341,5.5215
8.8,5.6236,5.6942,5.5816
8.9,5.6875,5.7518,5.6441
9,5.7514,5.8093,5.7067
9.1,5.8153,5.8644,5.7693
9.2,5.8792,5.9194,5.8293
9.3,5.9431,5.9695,5.8919
9.4,6.007,6.0145,5.9545
9.5,6.0709,6.0521,6.012
9.6,6.1348,5.9372,6.0596
9.7,6.1987,5.9948,
9.8,6.2586,6.0547,
9.9,6.3225,6.1122,
10,6.3864,6.1721,